"Rank","GeneSymbol","GeneId","GO: Molecular Function Score","GO: Molecular Function pValue","GO: Biological Process Score","GO: Biological Process pValue","GO: Cellular Component Score","GO: Cellular Component pValue","Human Phenotype Score","Human Phenotype pValue","Mouse Phenotype Score","Mouse Phenotype pValue","Domain Score","Domain pValue","Pathway Score","Pathway pValue","Pubmed Score","Pubmed pValue","Interaction Score","Interaction pValue","Cytoband Score","Cytoband pValue","Transcription Factor Binding Site Score","Transcription Factor Binding Site pValue","Gene Family Score","Gene Family pValue","Coexpression Score","Coexpression pValue","Coexpression Atlas Score","Coexpression Atlas pValue","ToppCell Atlas Score","ToppCell Atlas pValue","Computational Score","Computational pValue","MicroRNA Score","MicroRNA pValue","Drug Score","Drug pValue","Disease Score","Disease pValue","Average Score","Overall pValue"
21,"CACNA2D4",93589,0.9997597054406117,7.74593338497289E-4,0.994390698310454,0.02536793183578621,0.9803960333961786,0.009295120061967466,0.0,0.5,0.0,0.5044539116963594,0.0,0.5038729666924865,0.9994155236454043,1.0E-6,0.9491643352435936,0.028079008520526725,0.0,0.5,0.0,0.5032920216886135,0.0,0.5023237800154918,0.5637223222873742,9.682416731216112E-4,0.0,0.5019364833462432,0.0,0.5,0.09277702906911284,0.06990704879938033,-1.0,0.0,0.9989212926004003,0.1717660728117738,0.9999999999999991,0.0023237800154918666,0.1613372990310798,0.03427575522850503,0.44548963016248716,2.735829071509599E-6
22,"HCN1",348980,0.9977583848729201,0.002517428350116189,0.9999999991867589,0.009101471727343146,0.9997149037718123,0.0034856700232378003,0.0,0.5,0.5625996872613468,0.0013555383423702555,0.17855567746409567,0.0077459333849728895,0.0,0.5040666150271108,0.9899377469783398,0.015491866769945779,0.0,0.5,0.0,0.5032920216886135,0.0,0.5023237800154918,0.0,0.5029047250193648,0.47496432033904473,5.809450038729666E-4,0.0,0.5,0.35114712511700846,0.015104570100697134,-1.0,0.0,0.9999999999999991,0.1167699457784663,0.9746585999778189,0.013361735089078234,0.3768377403095267,0.025755228505034856,0.47167569416046756,3.4799034340782242E-6
23,"GRM4",2914,0.9040384531446394,0.010650658404337723,0.9999999832916727,0.009101471727343146,0.9999236681530416,0.0019364833462432224,-1.0,0.0,0.0,0.5044539116963594,0.6955388812675652,0.002517428350116189,0.40939666037821504,0.006003098373353989,0.9999999736077524,0.0029047250193648335,0.0,0.5,0.0,0.5032920216886135,0.0,0.5023237800154918,0.7215509374396384,7.74593338497289E-4,0.0,0.5019364833462432,0.0,0.5,0.13133987290049626,0.05286599535243997,0.0,0.5,0.9989062637322611,0.17195972114639815,0.9999999942062288,0.0023237800154918666,0.23537701220169246,0.03427575522850503,0.49600259007355313,3.4898199275934516E-6
24,"CALM2",805,0.9996234055034829,0.0011618900077459333,1.0,0.009101471727343146,0.9954223527306627,0.005034856700232378,0.0,0.5,0.0,0.5044539116963594,-1.0,0.0,0.8303239335885338,0.002517428350116189,0.999998736219539,0.003098373353989156,0.0,0.5,0.0,0.5032920216886135,0.0,0.5023237800154918,0.0,0.5029047250193648,0.547701805756461,3.872966692486445E-4,0.0,0.5,0.0,0.5737800154918667,0.0,0.5,0.9999999786693037,0.11696359411309062,0.9999999999724409,0.0023237800154918666,0.9934662975665949,0.0036793183578621223,0.4696209469957172,8.118698860748452E-6
25,"NOS1",4842,0.9965952666115117,0.003292021688613478,0.9999999999999996,0.009101471727343146,0.9999168791991744,0.0021301316808675446,0.0,0.5,0.5625996872613468,0.0013555383423702555,0.0,0.5038729666924865,0.3290406346651113,0.006777691711851278,0.999999995618471,0.0029047250193648335,0.0,0.5,0.0,0.5032920216886135,0.0,0.5023237800154918,0.0,0.5029047250193648,0.0,0.5019364833462432,0.0,0.5,0.17390440687985123,0.03911696359411309,0.0,0.5,1.0,0.1167699457784663,0.9999997506201457,0.002517428350116189,0.9544966740098714,0.007358636715724245,0.43607205816430405,1.3652804317865197E-5
26,"CHRNA5",1138,0.9769053039473542,0.006971340046475601,0.9999999983947322,0.009101471727343146,0.9994696227018888,0.0034856700232378003,-1.0,0.0,0.0,0.5044539116963594,0.0,0.5038729666924865,0.5689220366923298,0.0038729666924864447,0.9999952613452038,0.0034856700232378003,0.0,0.5,0.0,0.5032920216886135,0.0,0.5023237800154918,0.0,0.5029047250193648,0.0,0.5019364833462432,0.0,0.5,0.13375093806464042,0.05209140201394268,0.0,0.5,0.9999901989202726,0.13264910921766074,0.6804724837457183,0.04763749031758327,0.9999992157404551,1.0E-6,0.42783591353309497,1.4938085533877654E-5
27,"GABBR2",9568,0.0,0.5116189000774594,0.9996498319554691,0.017428350116189,0.9999811085782347,0.0011618900077459333,0.0,0.5,0.5625996872613468,0.0013555383423702555,0.6933602116367129,0.002517428350116189,0.10717305757927342,0.008133230054221533,0.9977088206931406,0.010069713400464756,0.0,0.5,0.0,0.5032920216886135,0.0,0.5023237800154918,0.0,0.5029047250193648,0.0,0.5019364833462432,0.0,0.5,0.3118236387822763,0.017621998450813324,0.0,0.5,1.0,0.1167699457784663,0.999999290673893,0.002711076684740511,0.3634772036245364,0.0261425251742835,0.4106169570317783,2.546677070935921E-5
28,"HTR1A",3350,0.0,0.5116189000774594,0.9999999879175223,0.009101471727343146,0.9996139292433223,0.0034856700232378003,0.0,0.5,0.5625996872613468,0.0013555383423702555,0.0,0.5038729666924865,0.10717305757927342,0.008133230054221533,0.9999999818328636,0.0029047250193648335,0.0,0.5,0.0,0.5032920216886135,0.0,0.5023237800154918,0.0,0.5029047250193648,0.0,0.5019364833462432,0.0,0.5,0.07151443538205447,0.08036405886909373,-1.0,0.0,0.918325373072496,0.21727343144848954,0.9999999999999996,0.0023237800154918666,0.9993840161756317,3.872966692486445E-4,0.38440472528557246,4.0573489482165215E-5
29,"OPRD1",4985,0.0,0.5116189000774594,0.9903079792194235,0.028079008520526725,0.9999972046439782,7.74593338497289E-4,-1.0,0.0,0.5625996872613468,0.0013555383423702555,0.0,0.5038729666924865,0.16171241970750996,0.008133230054221533,0.9999999778860462,0.0029047250193648335,0.0,0.5,0.0,0.5032920216886135,0.0,0.5023237800154918,0.0,0.5029047250193648,0.0,0.5019364833462432,0.0,0.5,0.2147967914510711,0.03040278853601859,0.0,0.5,0.9443178671398957,0.2134004647560031,0.9999802240940044,0.0036793183578621223,0.999233842102287,9.682416731216112E-4,0.3970025244569844,4.069272587714501E-5
30,"KCNJ11",3767,0.9988573734753334,0.0021301316808675446,0.9999997296612511,0.009488768396591789,0.9980430206668979,0.004453911696359412,0.0,0.5,0.5625996872613468,0.0013555383423702555,0.0,0.5038729666924865,0.735556117142795,0.002517428350116189,0.8859648967804673,0.04124709527498063,0.0,0.5,0.0,0.5032920216886135,0.0,0.5023237800154918,0.0,0.5029047250193648,0.47496432033904473,5.809450038729666E-4,0.0,0.5,0.11904245661848188,0.05712625871417506,0.0,0.5,0.9999999579740405,0.11715724244771494,0.5092536751666789,0.07087529047250193,0.0,0.5170410534469404,0.40355706170055,4.240758368279085E-5
