"Rank","GeneSymbol","GeneId","GO: Molecular Function Score","GO: Molecular Function pValue","GO: Biological Process Score","GO: Biological Process pValue","GO: Cellular Component Score","GO: Cellular Component pValue","Human Phenotype Score","Human Phenotype pValue","Mouse Phenotype Score","Mouse Phenotype pValue","Domain Score","Domain pValue","Pathway Score","Pathway pValue","Pubmed Score","Pubmed pValue","Interaction Score","Interaction pValue","Cytoband Score","Cytoband pValue","Transcription Factor Binding Site Score","Transcription Factor Binding Site pValue","Gene Family Score","Gene Family pValue","Coexpression Score","Coexpression pValue","Coexpression Atlas Score","Coexpression Atlas pValue","ToppCell Atlas Score","ToppCell Atlas pValue","Computational Score","Computational pValue","MicroRNA Score","MicroRNA pValue","Drug Score","Drug pValue","Disease Score","Disease pValue","Average Score","Overall pValue"
21,"LIPG",9388,0.9735529296707615,7.74593338497289E-4,0.9999999999980274,0.0087141750580945,0.4762493800713548,0.04899302865995352,-1.0,0.0,0.9984785170269938,0.004260263361735089,0.0,0.5009682416731216,0.6638621477083746,0.004260263361735089,0.9999999999999956,0.005034856700232378,0.38185101917948905,0.016653756777691712,0.0,0.5029047250193648,0.0,0.5009682416731216,0.5860918154128029,0.001549186676994578,0.5272859724456624,0.009101471727343146,0.0,0.5023237800154918,0.20362055310737778,0.024593338497288925,0.0,0.5027110766847405,0.9997858669224137,0.012199845081332301,0.9999999999971254,0.015298218435321457,0.7708111303524573,0.023044151820294345,0.5659553833184656,2.200900608428924E-7
22,"FGB",2244,0.05869602755362945,0.03892331525948877,0.9996806642621936,0.022850503485670023,0.7514654143489723,0.02072037180480248,0.9559711674591924,0.007552285050348567,0.5576989825194144,0.04434546862896979,0.0,0.5009682416731216,0.4718293917662567,0.006777691711851278,1.0,0.005034856700232378,0.0,0.5168474051123161,0.0,0.5029047250193648,0.0,0.5009682416731216,0.0,0.5007745933384973,0.2611213596115451,0.026336173508907823,0.24545711153290825,1.0E-6,0.860857359540872,9.682416731216112E-4,0.0,0.5027110766847405,0.907862967643047,0.12509682416731216,0.9999999999998281,0.015298218435321457,0.762480727886363,0.02343144848954299,0.5175212409741907,2.2066294069755799E-7
23,"FGG",2266,0.05869602755362945,0.03892331525948877,0.9995916031322166,0.024012393493415957,0.8504538078477524,0.013942680092951201,0.9559711674591924,0.007552285050348567,0.7968868597130523,0.029821843532145623,0.0,0.5009682416731216,0.4718293917662567,0.006777691711851278,0.9999999999924141,0.005034856700232378,0.0,0.5168474051123161,0.0,0.5029047250193648,0.0,0.5009682416731216,0.0,0.5007745933384973,0.2611213596115451,0.026336173508907823,0.24545711153290825,1.0E-6,0.8732047550605857,7.74593338497289E-4,0.0,0.5027110766847405,0.27243759148526925,0.2308288148721921,0.9999999999645691,0.015298218435321457,0.30772740982322366,0.051897753679318356,0.4870360380813907,2.607875430049589E-7
24,"CXCL10",3627,0.7499795018844225,0.005809450038729667,0.9999999999971956,0.0087141750580945,0.525845060681711,0.048799380325329204,-1.0,0.0,0.04501415107298374,0.08346243222308287,0.9323800111861228,9.682416731216112E-4,0.21465682382367804,0.013942680092951201,1.0,0.005034856700232378,0.6246881294551009,0.006003098373353989,0.0,0.5029047250193648,0.0,0.5009682416731216,0.0,0.5007745933384973,0.0,0.5147172734314485,0.0,0.5023237800154918,0.19037489735518145,0.0261425251742835,0.10809867656929364,1.9364833462432224E-4,0.9995512133437514,0.015491866769945779,0.9999999772741109,0.015298218435321457,0.7744674451289415,0.0226568551510457,0.5067757223838318,3.39875524169031E-7
25,"CXCL9",4283,0.05869602755362945,0.03892331525948877,0.9999968710006505,0.010263361735089079,0.525845060681711,0.048799380325329204,-1.0,0.0,0.987520581515107,0.009488768396591789,0.9323800111861228,9.682416731216112E-4,0.21465682382367804,0.013942680092951201,0.9999999999999982,0.005034856700232378,0.6246881294551009,0.006003098373353989,0.0,0.5029047250193648,0.0,0.5009682416731216,0.0,0.5007745933384973,0.3602276533952188,0.017428350116189,0.0,0.5023237800154918,0.08367105870451963,0.055964368706429124,0.10809867656929364,1.9364833462432224E-4,0.9912463071746159,0.05092951200619675,0.9982794358857382,0.05092951200619675,0.341921740256631,0.0505422153369481,0.5107081642021665,4.05267641334639E-7
26,"F7",2155,0.05869602755362945,0.03892331525948877,0.9999999768729643,0.0087141750580945,0.5609604844869732,0.048024786986831915,0.2028419688018296,0.038536018590240126,0.5743030799017067,0.04066615027110767,0.0,0.5009682416731216,0.7087728923418206,0.004066615027110767,0.9999999990376914,0.005034856700232378,0.0,0.5168474051123161,0.0,0.5029047250193648,0.0,0.5009682416731216,0.0,0.5007745933384973,0.6450536817546759,0.004841208365608056,0.24545711153290825,1.0E-6,0.5060228547035246,0.006777691711851278,0.0,0.5027110766847405,0.4521884733616878,0.21204492641363284,0.9999999085501573,0.015298218435321457,0.7469423470899526,0.024012393493415957,0.4785471933674361,4.2129173150051713E-7
27,"IGF2R",3482,0.0,0.5193648334624322,0.7564232494213464,0.09469403563129357,0.9987549687948121,9.682416731216112E-4,0.8721117474897039,0.012199845081332301,0.9271999393857422,0.018783888458559255,0.0,0.5009682416731216,0.4022751800616942,0.009682416731216111,0.9999999999963993,0.005034856700232378,0.5504720489519783,0.011037955073586367,0.47727483033930956,1.0E-6,0.0,0.5009682416731216,0.0,0.5007745933384973,0.0,0.5147172734314485,0.0,0.5023237800154918,0.07661615330477091,0.05848179705654531,0.0,0.5027110766847405,0.9999211152019984,0.007164988381099922,0.9986670365990018,0.049573973663826494,0.3733085899418769,0.04996127033307514,0.48410924871435546,7.423809642581602E-7
28,"F5",2153,0.0,0.5193648334624322,0.738106082205668,0.09740511231603408,0.4291299030610479,0.054415182029434545,0.8927239412735607,0.010457010069713401,0.7973398458122136,0.029821843532145623,0.0,0.5009682416731216,0.0,0.5110379550735864,0.9999999999999916,0.005034856700232378,0.7797457883879648,0.0038729666924864447,0.0,0.5029047250193648,0.0,0.5009682416731216,-1.0,0.0,0.5503719747427307,0.0077459333849728895,0.24545711153290825,1.0E-6,0.31907450980830687,0.013749031758326879,0.0,0.5027110766847405,0.9801981210012914,0.07106893880712625,0.9999999327854513,0.015298218435321457,0.7744719533005476,0.0226568551510457,0.5131498271625631,1.037455623742467E-6
29,"MST1",4485,0.05869602755362945,0.03892331525948877,0.9999977166802545,0.010263361735089079,0.49752629599376325,0.048799380325329204,-1.0,0.0,0.4425727372503983,0.052672347017815646,0.9944979067613225,3.872966692486445E-4,0.5889435947182264,0.005809450038729667,0.33378237085431944,0.12412858249419055,0.0,0.5168474051123161,0.0,0.5029047250193648,0.0,0.5009682416731216,-1.0,0.0,0.37845265041138343,0.013555383423702556,0.24545711153290825,1.0E-6,0.1305363270590376,0.04066615027110767,0.0,0.5027110766847405,0.17074196239373057,0.2308288148721921,0.766886346321116,0.12858249419054996,0.6547582936024258,0.0296281951975213,0.4656120064443415,1.0663843548197605E-6
30,"ICAM1",3383,0.05869602755362945,0.03892331525948877,0.999999999852213,0.0087141750580945,0.8517428611413513,0.013942680092951201,-1.0,0.0,0.9917112962421268,0.008907823392718823,0.0,0.5009682416731216,0.9278062733172261,0.0013555383423702555,0.9999999999999991,0.005034856700232378,0.13023374891896375,0.024399690162664602,0.0,0.5029047250193648,0.0,0.5009682416731216,0.0,0.5007745933384973,0.33569279595450163,0.020914020139426802,0.0,0.5023237800154918,0.1893411668014281,0.0261425251742835,0.10809867656929364,1.9364833462432224E-4,0.6182749511863049,0.19229279628195198,0.9999999999999991,0.015298218435321457,0.774471948933022,0.0226568551510457,0.4818847062201362,1.0766502576142756E-6
